;date;y;rec_0;rec_1;gmean;perf_avail
0;2011-04-13 19:50:46;False;0.0;0;0.0;True
1;2011-04-13 19:54:23;False;0.5002501250625312;0;0.0;True
2;2011-04-14 09:45:20;False;0.333333222111037;0;0.0;True
3;2011-04-14 10:13:54;False;0.5002501250625313;0;0.0;True
4;2011-04-14 10:20:00;False;0.39999979979992006;0;0.0;True
5;2011-04-14 10:30:29;False;0.3331663053751693;0;0.0;True
6;2011-04-14 10:36:45;True;0.3331663053751693;1.0;0.5772056006096695;True
7;2011-04-14 10:38:55;False;0.42871442885742855;1.0;0.6547628798713535;True
8;2011-04-14 10:39:43;False;0.5003754377809524;1.0;0.7073722059714761;True
9;2011-04-14 11:42:44;False;0.4445554069995309;1.0;0.6667498833892144;True
10;2011-04-14 11:43:52;False;0.5003502748367185;1.0;0.7073544195357222;True
11;2011-04-14 13:24:11;False;0.45463599918154735;1.0;0.6742670088188709;True
12;2011-04-14 13:40:20;True;0.45463599918154735;1.0;0.6742670088188709;True
13;2011-04-14 13:40:29;False;0.500333499596536;1.0;0.7073425617029814;True
14;2011-04-14 14:22:24;False;0.4616148450774664;1.0;0.6794224349235654;True
15;2011-04-14 14:54:39;False;0.500321517330097;1.0;0.7073340917346604;True
16;2011-04-14 16:04:31;True;0.500321517330097;1.0;0.7073340917346604;True
17;2011-04-14 16:05:10;False;0.46673264320183366;1.0;0.6831783392364205;True
18;2011-04-14 16:06:46;False;0.5003125306722473;1.0;0.7073277392215347;True
19;2011-04-14 19:27:03;True;0.5003125306722473;1.0;0.7073277392215347;True
20;2011-04-14 20:38:12;False;0.5299417640560026;1.0;0.7279709912187453;True
21;2011-04-14 20:52:34;False;0.5002495118129023;1.0;0.707283190676056;True
22;2011-04-15 06:59:52;False;0.5267896824711178;1.0;0.7258027848328482;True
23;2011-04-15 07:00:01;False;0.5506757603488939;1.0;0.742075306386686;True
24;2011-04-15 08:14:42;False;0.5722869015580031;1.0;0.756496465000335;True
25;2011-04-15 08:25:52;False;0.5459996761075198;1.0;0.7389179089097244;True
26;2011-04-15 09:09:07;False;0.565956820163498;1.0;0.7523010169895412;True
27;2011-04-15 09:13:08;False;0.5842507986848553;1.0;0.764363001907376;True
28;2011-04-15 09:21:25;False;0.601081191536063;1.0;0.7752942612557266;True
29;2011-04-15 10:23:41;False;0.6166168739870715;1.0;0.78524956159623;True
30;2011-04-15 10:30:07;False;0.6310017027493328;1.0;0.7943561561096715;True
31;2011-04-15 10:38:28;False;0.6443589835755318;1.0;0.8027197416131808;True
32;2011-04-15 10:39:53;False;0.6567950145283395;1.0;0.8104289077570836;True
33;2011-04-15 12:44:35;False;0.6684019205954157;1.0;0.8175585120316562;True
34;2011-04-15 14:16:55;False;0.6792599396692486;1.0;0.8241722754796164;True
35;2011-04-15 14:32:39;False;0.6894392799057762;1.0;0.8303248038603787;True
36;2011-04-15 14:40:13;False;0.6682110117941452;1.0;0.8174417482574188;True
37;2011-04-15 15:00:00;False;0.6482315753313304;1.0;0.8051282974354649;True
38;2011-04-15 15:00:16;False;0.6584539863451955;1.0;0.8114517769684132;True
39;2011-04-15 19:05:10;False;0.6398415412540821;1.0;0.7999009571528728;True
40;2011-04-16 20:38:37;False;0.6222352800173334;1.0;0.7888189145915134;True
41;2011-04-16 20:39:22;True;0.6222352800173334;1.0;0.7888189145915134;True
42;2011-04-16 20:40:19;False;0.6055557670667471;1.0;0.7781746378973984;True
43;2011-04-16 20:50:05;False;0.615863168605825;1.0;0.784769500303003;True
44;2011-04-16 21:07:01;False;0.625655136357863;1.0;0.7909836511318442;True
45;2011-04-18 14:36:59;False;0.6349693849906969;1.0;0.7968496627286084;True
46;2011-04-18 17:49:12;False;0.6195389185884306;1.0;0.7871079459568621;True
47;2011-04-18 17:50:01;True;0.6195389185884306;1.0;0.7871079459568621;True
48;2011-04-19 15:26:09;True;0.6195389185884306;1.0;0.7871079459568621;True
49;2011-04-19 15:26:44;False;0.6285740205101423;1.0;0.7928266017926885;True
50;2011-04-20 07:14:35;True;0.6285740205101423;0.8745618434223681;0.7414356709147191;True
51;2011-04-20 09:03:25;False;0.6139787985340609;0.8745618434223681;0.7327772034310286;True
52;2011-04-20 09:03:25;False;0.6227472164714379;0.8745618434223681;0.7379911609385368;True
53;2011-04-20 09:28:54;False;0.6311343358818556;0.8745618434223681;0.7429441487998864;True
54;2011-04-20 09:48:35;False;0.6391644949697235;0.8745618434223681;0.747655588470285;True
55;2011-04-20 13:55:58;False;0.6255330869785637;0.8745618434223681;0.7396400270872698;True
56;2011-04-20 14:38:33;True;0.6255330869785637;0.888555259630766;0.7455338453134587;True
57;2011-04-20 14:41:29;False;0.6333602103823528;0.888555259630766;0.7501836749597315;True
58;2011-04-20 17:38:41;False;0.6203800205166066;0.888555259630766;0.7424566857398978;True
59;2011-04-20 17:39:34;True;0.6203800205166066;0.7992991503772285;0.7041798231346388;True
60;2011-04-20 17:40:33;True;0.6203800205166066;0.7262715464587283;0.6712409082383861;True
61;2011-04-20 17:59:38;False;0.6280112512528199;0.7262715464587283;0.6753567225110493;True
62;2011-04-20 20:38:13;False;0.6353489106844754;0.7262715464587283;0.6792906858655449;True
63;2011-04-20 20:56:27;False;0.642409616055859;0.7262715464587283;0.6830547747529817;True
64;2011-04-20 21:12:54;False;0.649208753704284;0.7262715464587283;0.6866599198492321;True
65;2011-04-20 21:23:58;False;0.6557605909607258;0.7262715464587283;0.690116119579695;True
66;2011-04-20 21:24:18;False;0.6620783760611018;0.7262715464587283;0.6934325389385617;True
